51	'number of materials in this database'																																													
id	case'	'name'	'data source'	bulk density'	'thermal capacity'	'thermal conductivity'	'thermal conductivity'	'capillary moisture content' 	absorbivity for short wave radiation [-]'	Equation type (vdc(1))	vdc(2)	vdc(3)	vdc(4)	vdc(5)	vdc(6)	vdc(7)	(nret)	reta1	retn1	retm1	retw1	Ci	Wi	reta2	retn2	retm2	retw2	reta3	retn3	retm3	retw3	keq	ka(j)	kb(j)	kreta(j1)	kretn(j1)	kretm(j1)	kretw(j1)	kreta(j2)	kretn(j2)	kretm(j2)	kretw(j2)	kreta(j3)	kretn(j3)	kretm(j3)	kretw(j3)
-	-	-	-	'[kg/m3]'	'[J/kgK]'	'[W/mK] - dry term'	'[W/mK] moisture term - * w'	'[kg/m3]'		vapour diffusion coefficient							Moisture storage parameters C and w (coefficients for the equation)															equation type for logK	Coefficients for the calculation of log10 of the liquid permeability/conductivity													
12	12	'plywood'	'IEA Annex 24'	5.00E+02	1.88E+03	1.00E-01	0	2.00E+02	0.5	3	2.31E-05	2.73E+02	1.81E+00	5.00E-03	3.37E-06	1.08E+01	1	-5.88E-07	1.34E+00	2.52E-01	1.00E+00	2.00E+02	2.00E+02	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
13	13	'gypsum plaster'	'Goossens 2003 - cet & lambda missing'	9.90E+02	0.00E+00	0.00E+00	0	3.03E+01	0.5	2	2.31E-05	2.73E+02	1.81E+00	4.24E+00	0	0	1	-5.07E-07	1.80E+00	4.44E-01	1.00E+00	3.04E+01	3.04E+01	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
14	14	'cellulose insulation'	'Peukhuri 2003'	6.50E+01	1.38E+03	4.00E-02	0	2.34E+01	0.5	2	2.31E-05	2.73E+02	1.81E+00	1.77E+00	0	0	1	-1.66E-07	1.58E+00	3.65E-01	1.00E+00	2.35E+01	2.35E+01	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
15	15	'perlite insulation'	'Peukhuri 2003'	1.00E+02	1.00E+03	5.00E-02	0	1.98E+01	0.5	2	2.31E-05	2.73E+02	1.81E+00	1.89E+00	0	0	1	-5.49E-06	1.85E+00	4.59E-01	1.00E+00	1.98E+01	1.98E+01	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	'aerated cellular concrete'	'Peukhuri 2003'	4.50E+02	9.00E+02	1.10E-01	0	2.58E+02	0.5	3	2.31E-05	2.73E+02	1.81E+00	1.00E-01	1.47E-04	5.15E+00	1	-1.52E-03	1.32E+00	2.41E-01	1.00E+00	2.58E+02	2.58E+02	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
17	17	'flax insulation'	'Peukhuri 2003'	3.00E+01	1.38E+03	4.00E-02	0	3.70E+02	0.5	2	2.31E-05	2.73E+02	1.81E+00	1.30E+00	0	0	1	-4.58E-06	1.95E+00	4.87E-01	1.00E+00	3.70E+02	3.70E+02	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
18	51	'ceramic brick'	'Jan Carmeliet'	-1	-1	-1	0	1.64E+02	0.5	4	0	0	0	0	0	0	-1	-7.33E-06	1.55E+00	3.53E-01	1.28E-01	1.64E+02	1.64E+02	-2.93E-05	2.30E+00	5.65E-01	8.72E-01	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	52	'calcium silicate'	'Jan Carmeliet'	-1	-1	-1	0	2.28E+02	0.5	4	0	0	0	0	0	0	-1	-4.53E-07	1.81E+00	4.48E-01	7.50E-01	2.28E+02	2.28E+02	-1.06E-05	1.97E+00	4.91E-01	2.50E-01	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	53	'wood homogeneous non-isotropic'	'KULeuven'	4.94E+02	1.88E+03	5.00E-01	0	1.23E+02	0.5	4	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
21	54	'early wood non-isotropic'	'KULeuven'	4.94E+02	9.00E+02	5.00E-01	0	5.72E+02	0.5	2	2.31E-05	2.73E+02	1.81E+00	2.60E+00	0	0	2	-8.10E-08	1.60E+00	3.75E-01	2.60E-01	5.72E+02	5.72E+02	-5.00E-07	6.00E+00	8.33E-01	7.40E-01	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
