cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.900000000000000E+05    0.558539906613711E+02   -0.724841850906276E+05    0.279264472727137E+05   -0.729787120660235E+05    0.279264468551124E+05
    0.936000000000000E+05    0.558278582049066E+02   -0.728228920605007E+05    0.285364605925877E+05   -0.732493100134595E+05    0.285364659539863E+05
    0.972000000000000E+05    0.558020980111732E+02   -0.730153520205579E+05    0.290955273304054E+05   -0.735977728907232E+05    0.290952335859551E+05
    0.100800000000000E+06    0.557751839486562E+02   -0.766879390968804E+05    0.296056876732466E+05   -0.754333143705913E+05    0.296054346714769E+05
    0.104400000000000E+06    0.557366891548685E+02   -0.913550155149538E+05    0.300767911095472E+05   -0.904439383414926E+05    0.300767963092234E+05
    0.108000000000000E+06    0.557055030380925E+02   -0.705608659760271E+05    0.305195291406854E+05   -0.695226525838584E+05    0.305195288915764E+05
    0.111600000000000E+06    0.556883651166352E+02   -0.607200177813023E+05    0.309367780120194E+05   -0.611847514859981E+05    0.309367776689843E+05
    0.115200000000000E+06    0.556637919298308E+02   -0.361243866096960E+05    0.312073142605428E+05   -0.352446992822195E+05    0.312073142077063E+05
    0.118800000000000E+06    0.556348577051247E+02   -0.492345432600619E+05    0.316192942616737E+05   -0.481992664523601E+05    0.316192947597664E+05
    0.122400000000000E+06    0.556111034793878E+02   -0.509941136915145E+05    0.320596842459463E+05   -0.515601002421552E+05    0.320596838889183E+05
    0.126000000000000E+06    0.555998924249787E+02   -0.727733273965122E+05    0.323900539253794E+05   -0.756831474915070E+05    0.323900532068161E+05
    0.129600000000000E+06    0.556002806017345E+02   -0.440950746143838E+05    0.326930439063308E+05   -0.447652490889171E+05    0.326930436336250E+05
    0.133200000000000E+06    0.556047409966167E+02   -0.320660348065096E+05    0.329583060458106E+05   -0.326552416550180E+05    0.329583055907979E+05
    0.136800000000000E+06    0.556079960251046E+02   -0.311508416461478E+05    0.331793135249420E+05   -0.318519417173309E+05    0.331793141971484E+05
    0.140400000000000E+06    0.556069353536558E+02   -0.370557077303716E+05    0.333568455505552E+05   -0.360937110340007E+05    0.333543370917479E+05
    0.144000000000000E+06    0.555995879308323E+02   -0.460537713551477E+05    0.334986991565706E+05   -0.453038443853013E+05    0.334987395571511E+05
    0.147600000000000E+06    0.555876742290494E+02   -0.538129237916596E+05    0.336172483252521E+05   -0.529966940941007E+05    0.336173089609775E+05
    0.151200000000000E+06    0.555782213084185E+02   -0.486387561518524E+05    0.337232787442679E+05   -0.485309750592805E+05    0.337233478790129E+05
    0.154800000000000E+06    0.555695635868863E+02   -0.487962419345026E+05    0.338235164695914E+05   -0.480335327530128E+05    0.338206949837763E+05
    0.158400000000000E+06    0.555607684833281E+02   -0.503620288411951E+05    0.339213774543533E+05   -0.500762632101282E+05    0.339186194089724E+05
    0.162000000000000E+06    0.555508858436393E+02   -0.522848822933398E+05    0.340187072900793E+05   -0.519490093622471E+05    0.340187776754336E+05
    0.165600000000000E+06    0.555417709442798E+02   -0.514012147382278E+05    0.341165322463988E+05   -0.517949693160027E+05    0.341139190424736E+05
    0.169200000000000E+06    0.555296619146118E+02   -0.557282797860847E+05    0.342158545000903E+05   -0.550004918254682E+05    0.342159196006070E+05
    0.172800000000000E+06    0.555127315646631E+02   -0.641020536334088E+05    0.343200342920955E+05   -0.638483766361687E+05    0.343200335731916E+05
    0.176400000000000E+06    0.554944280877482E+02   -0.655278005601746E+05    0.344328811075115E+05   -0.653428297969270E+05    0.344328804839950E+05
    0.180000000000000E+06    0.554736804216763E+02   -0.700826402714535E+05    0.345581753821853E+05   -0.699061247368344E+05    0.345581749163328E+05
    0.183600000000000E+06    0.554561827414922E+02   -0.638734982433250E+05    0.346971745401802E+05   -0.636120861747166E+05    0.346972047448059E+05
    0.187200000000000E+06    0.554415829328528E+02   -0.595336539636163E+05    0.348478050755031E+05   -0.591426553458452E+05    0.348457983913337E+05
    0.190800000000000E+06    0.554297028117439E+02   -0.548783036983581E+05    0.350053745636021E+05   -0.553188851501789E+05    0.350034331491665E+05
    0.194400000000000E+06    0.554200719980581E+02   -0.526644502241180E+05    0.351641569811971E+05   -0.530067469644842E+05    0.351641659629022E+05
    0.198000000000000E+06    0.554108157987821E+02   -0.520128090368240E+05    0.353196774458934E+05   -0.530765853352299E+05    0.353177382769053E+05
    0.201600000000000E+06    0.554015947316229E+02   -0.522338944344509E+05    0.354688053828691E+05   -0.523274502453372E+05    0.354668249102120E+05
    0.205200000000000E+06    0.553955261627966E+02   -0.465470623446255E+05    0.356095841310910E+05   -0.470319067931455E+05    0.356096054044020E+05
    0.208800000000000E+06    0.554046786230183E+02   -0.212478680843719E+05    0.357354297126729E+05   -0.215348232638147E+05    0.357354295053666E+05
    0.212400000000000E+06    0.554159518658913E+02   -0.177166358039921E+05    0.358374280256018E+05   -0.180645425265189E+05    0.358374272010051E+05
    0.216000000000000E+06    0.554391450180546E+02    0.242295405417372E+04    0.359050712438194E+05    0.159751111536262E+04    0.359050696099307E+05
    0.219600000000000E+06    0.554775204564590E+02    0.280381162481548E+05    0.359250394561315E+05    0.273247242381571E+05    0.359250389981745E+05
    0.223200000000000E+06    0.555327372521257E+02    0.566419061053168E+05    0.358809749235106E+05    0.557250753335209E+05    0.358809743308503E+05
    0.226800000000000E+06    0.555807768874847E+02    0.445204193909804E+05    0.357623708736719E+05    0.442450811068050E+05    0.357623706502964E+05
    0.230400000000000E+06    0.556139079851821E+02    0.190951073758940E+05    0.355737598811268E+05    0.198407962431759E+05    0.355699535226058E+05
    0.234000000000000E+06    0.556152562835208E+02   -0.341375265046215E+05    0.353398437129925E+05   -0.333824373102470E+05    0.353398391417548E+05
    0.237600000000000E+06    0.556024652601220E+02   -0.577741209476635E+05    0.350977680192508E+05   -0.571144179082252E+05    0.350977684481317E+05
    0.241200000000000E+06    0.555795562221450E+02   -0.740859568625632E+05    0.348833350472668E+05   -0.737885279931512E+05    0.348833353115676E+05
    0.244800000000000E+06    0.555593155165348E+02   -0.694820550675842E+05    0.347203333726339E+05   -0.686324679139841E+05    0.347203292539941E+05
    0.248400000000000E+06    0.555467548131162E+02   -0.558589919412114E+05    0.346158148687194E+05   -0.555037802282114E+05    0.346159979085306E+05
    0.252000000000000E+06    0.555395742539668E+02   -0.461027314950331E+05    0.345630718675543E+05   -0.465894418379663E+05    0.345632101328519E+05
    0.255600000000000E+06    0.555288966222899E+02   -0.528369346892706E+05    0.345508831368902E+05   -0.524617469290051E+05    0.345508812146191E+05
    0.259200000000000E+06    0.555093791375118E+02   -0.678877370087771E+05    0.345723962561226E+05   -0.675805952567616E+05    0.345723949663096E+05
    0.262800000000000E+06    0.554885815782832E+02   -0.704353783997479E+05    0.346249766839106E+05   -0.698306380361527E+05    0.346249760147667E+05
    0.266400000000000E+06    0.554677828760185E+02   -0.701199874551666E+05    0.347072843455857E+05   -0.697228127944984E+05    0.347072839779035E+05
    0.270000000000000E+06    0.554496823493417E+02   -0.650157277860734E+05    0.348161801919688E+05   -0.645660887806701E+05    0.348161937911688E+05
    0.273600000000000E+06    0.554365998633135E+02   -0.556957694615131E+05    0.349454701688162E+05   -0.561224689795282E+05    0.349454674370375E+05
    0.277200000000000E+06    0.554244213963226E+02   -0.526770105472603E+05    0.350873871695824E+05   -0.549364698401313E+05    0.350864206200299E+05
    0.280800000000000E+06    0.554145661478844E+02   -0.484326618566901E+05    0.352345269202648E+05   -0.490725569112306E+05    0.352345109250220E+05
    0.284400000000000E+06    0.554025240656447E+02   -0.533747919350747E+05    0.353821103218913E+05   -0.530101595108249E+05    0.353820961872721E+05
    0.288000000000000E+06    0.553870873191684E+02   -0.606382944538361E+05    0.355292315510861E+05   -0.604370909027188E+05    0.355292322011894E+05
    0.291600000000000E+06    0.553722958592952E+02   -0.617261595808546E+05    0.356767639674506E+05   -0.610525291724066E+05    0.356767538508003E+05
    0.295200000000000E+06    0.553727016958758E+02   -0.362417892654084E+05    0.358209832367584E+05   -0.367102699498653E+05    0.358209829606715E+05
    0.298800000000000E+06    0.553912455766967E+02   -0.498210211505156E+04    0.359486267833978E+05   -0.631220947009986E+04    0.359486261273635E+05
    0.302400000000000E+06    0.554269592032609E+02    0.236541062986665E+05    0.360387998962678E+05    0.232677721623462E+05    0.360387996722673E+05
    0.306000000000000E+06    0.554656678658648E+02    0.295481577625190E+05    0.360721310274492E+05    0.287548353769000E+05    0.360721305257829E+05
    0.309600000000000E+06    0.555067980983777E+02    0.336293574018385E+05    0.360368095507985E+05    0.331230310959994E+05    0.360368091795566E+05
    0.313200000000000E+06    0.555630393344909E+02    0.591683230891783E+05    0.359253525434515E+05    0.585511449060561E+05    0.359253520325865E+05
    0.316800000000000E+06    0.555807317740258E+02   -0.571543617669902E+04    0.357471531862124E+05   -0.521197319801183E+04    0.357471535565216E+05
    0.320400000000000E+06    0.555580755236745E+02   -0.732329662760763E+05    0.355378087308862E+05   -0.724670937976425E+05    0.355378094299360E+05
    0.324000000000000E+06    0.555241175011529E+02   -0.918209098188781E+05    0.353440574903285E+05   -0.916010341851901E+05    0.353440577778819E+05
    0.327600000000000E+06    0.554854612546450E+02   -0.998308800677964E+05    0.352048824715626E+05   -0.994718927988727E+05    0.352048828354973E+05
    0.331200000000000E+06    0.554562889313528E+02   -0.832316170306165E+05    0.351392486417969E+05   -0.828329367546644E+05    0.351392460313159E+05
    0.334800000000000E+06    0.554398059889973E+02   -0.602794654274930E+05    0.351440901835998E+05   -0.604911926228619E+05    0.351440878513201E+05
    0.338400000000000E+06    0.554328243150616E+02   -0.434319439098954E+05    0.352012478061954E+05   -0.438855574895773E+05    0.352012460168996E+05
    0.342000000000000E+06    0.554220331125511E+02   -0.507918968028444E+05    0.352906881864046E+05   -0.505765861254033E+05    0.352907113539962E+05
    0.345600000000000E+06    0.554070280870338E+02   -0.534846730214065E+05    0.353992038439062E+05   -0.545002904797070E+05    0.353992128999639E+05
    0.349200000000000E+06    0.553871923316300E+02   -0.619294758712711E+05    0.355215935302051E+05   -0.638114550312299E+05    0.355215945243673E+05
    0.352800000000000E+06    0.553657419905663E+02   -0.626443523900040E+05    0.356578977615341E+05   -0.628502370071232E+05    0.356578982364050E+05
    0.356400000000000E+06    0.553451907472742E+02   -0.634014692047748E+05    0.358087050606637E+05   -0.641812627971143E+05    0.358086901682455E+05
    0.360000000000000E+06    0.553299036255257E+02   -0.520598325832160E+05    0.359721237787814E+05   -0.506131359200230E+05    0.359721012144616E+05
    0.363600000000000E+06    0.553220016249212E+02   -0.383118298914304E+05    0.361414863366546E+05   -0.374775182823454E+05    0.361414863048854E+05
    0.367200000000000E+06    0.553243465832722E+02   -0.192645004009876E+05    0.363056495962167E+05   -0.189362297891484E+05    0.363056489290047E+05
    0.370800000000000E+06    0.553323700403526E+02   -0.615722236238099E+04    0.364517722841835E+05   -0.577686241347134E+04    0.364517714362323E+05
    0.374400000000000E+06    0.553449273830555E+02    0.288271102967193E+04    0.365686009671524E+05    0.279924570054981E+04    0.365686001415371E+05
    0.378000000000000E+06    0.553604381319330E+02    0.794846336388814E+04    0.366485095324862E+05    0.747476461251842E+04    0.366485089769694E+05
    0.381600000000000E+06    0.553847778762390E+02    0.203100845205013E+05    0.366856646336367E+05    0.200154516946991E+05    0.366856639659797E+05
    0.385200000000000E+06    0.554096372910026E+02    0.606237511761664E+04    0.366765260266860E+05    0.600226720146850E+04    0.366765242564611E+05
    0.388800000000000E+06    0.554418839754911E+02    0.131910621588969E+05    0.366188957667709E+05    0.127209601664369E+05    0.366188933374218E+05
    0.392400000000000E+06    0.554791279845963E+02    0.147424286159948E+05    0.365108181696528E+05    0.135837868823610E+05    0.365108178878515E+05
    0.396000000000000E+06    0.555123127276993E+02    0.847923406726738E+04    0.363537137947528E+05    0.720664493164107E+04    0.363537132826454E+05
