       time step start          time step length       avg time step length      required iterations
    0.154800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.158400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.162000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.165600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.169200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.172800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.176400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.180000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.183600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.187200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.190800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.194400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.198000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.201600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.205200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.208800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.212400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.216000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.219600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.223200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.226800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.230400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.234000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.237600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.241200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.244800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.248400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.252000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.255600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.259200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.262800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.266400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.270000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.273600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.277200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.280800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.284400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.288000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.291600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.295200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.298800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.302400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.306000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.309600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.313200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.316800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.320400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.324000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.327600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.331200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.334800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.338400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.342000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.345600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.349200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.352800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.356400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.360000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.363600000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.367200000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.370800000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.374400000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.378000000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.381600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.385200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.388800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.392400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.396000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.399600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.403200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.406800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.410400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.414000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.417600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
