       time step start          time step length       avg time step length      required iterations
    0.000000000000000E+00    0.180000000000000E+04    0.356400000000000E+04             28
    0.180000000000000E+04    0.180000000000000E+04    0.360000000000000E+04              6
    0.360000000000000E+04    0.360000000000000E+04    0.360000000000000E+04              6
    0.720000000000000E+04    0.360000000000000E+04    0.360000000000000E+04              5
    0.108000000000000E+05    0.180000000000000E+04    0.356400000000000E+04             29
    0.126000000000000E+05    0.180000000000000E+04    0.360000000000000E+04             17
    0.144000000000000E+05    0.158823529411765E+04    0.355976470588235E+04              8
    0.159882352941176E+05    0.201176470588235E+04    0.360000000000000E+04              8
    0.180000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.216000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.252000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.288000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.324000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.360000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.396000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.432000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.468000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.504000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.540000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.576000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.612000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.648000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.684000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.720000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.756000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.792000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.828000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.864000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.900000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.936000000000000E+05    0.562500000000000E+02    0.352912500000000E+04              2
    0.936562500000000E+05    0.112500000000000E+03    0.345937500000000E+04              2
    0.937687500000000E+05    0.140625000000000E+02    0.338765625000000E+04              1
    0.937828125000000E+05    0.703125000000000E+01    0.331579687500000E+04              1
    0.937898437500000E+05    0.351562500000000E+01    0.324386718750000E+04              1
    0.937933593750000E+05    0.175781250000000E+01    0.317190234375000E+04              1
    0.937951171875000E+05    0.878906250000000E+00    0.309991992187500E+04              1
    0.937959960937500E+05    0.100000000000000E+04    0.304791992187500E+04              2
    0.947959960937500E+05    0.240400390625000E+04    0.360000000000000E+04              3
    0.972000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              3
    0.100800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.104400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.108000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.111600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.115200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.118800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.122400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.126000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.129600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.133200000000000E+06    0.900000000000000E+03    0.354600000000000E+04              2
    0.134100000000000E+06    0.112500000000000E+03    0.347625000000000E+04              2
    0.134212500000000E+06    0.140625000000000E+02    0.340453125000000E+04              1
    0.134226562500000E+06    0.281250000000000E+02    0.333309375000000E+04              2
    0.134254687500000E+06    0.140625000000000E+02    0.326137500000000E+04              1
    0.134268750000000E+06    0.281250000000000E+02    0.318993750000000E+04              2
    0.134296875000000E+06    0.140625000000000E+02    0.311821875000000E+04              1
    0.134310937500000E+06    0.281250000000000E+02    0.304678125000000E+04              2
    0.134339062500000E+06    0.140625000000000E+02    0.297506250000000E+04              1
    0.134353125000000E+06    0.281250000000000E+02    0.290362500000000E+04              2
    0.134381250000000E+06    0.140625000000000E+02    0.283190625000000E+04              1
    0.134395312500000E+06    0.281250000000000E+02    0.276046875000000E+04              2
    0.134423437500000E+06    0.140625000000000E+02    0.268875000000000E+04              1
    0.134437500000000E+06    0.281250000000000E+02    0.261731250000000E+04              2
    0.134465625000000E+06    0.140625000000000E+02    0.254559375000000E+04              1
    0.134479687500000E+06    0.281250000000000E+02    0.247415625000000E+04              2
    0.134507812500000E+06    0.140625000000000E+02    0.240243750000000E+04              1
    0.134521875000000E+06    0.281250000000000E+02    0.233100000000000E+04              2
    0.134550000000000E+06    0.140625000000000E+02    0.225928125000000E+04              1
    0.134564062500000E+06    0.281250000000000E+02    0.218784375000000E+04              2
    0.134592187500000E+06    0.351562500000000E+01    0.211591406250000E+04              1
    0.134595703125000E+06    0.100000000000000E+03    0.204591406250000E+04              2
    0.134695703125000E+06    0.200000000000000E+03    0.197791406250000E+04              2
    0.134895703125000E+06    0.400000000000000E+03    0.191391406250000E+04              3
    0.135295703125000E+06    0.800000000000000E+03    0.185791406250000E+04              3
    0.136095703125000E+06    0.704296875000000E+03    0.360000000000000E+04              3
    0.136800000000000E+06    0.140859375000000E+04    0.355617187500000E+04              3
    0.138208593750000E+06    0.219140625000000E+04    0.360000000000000E+04              3
    0.140400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.144000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.147600000000000E+06    0.900000000000000E+03    0.354600000000000E+04              3
    0.148500000000000E+06    0.450000000000000E+03    0.348300000000000E+04              2
    0.148950000000000E+06    0.225000000000000E+03    0.341550000000000E+04              2
    0.149175000000000E+06    0.450000000000000E+03    0.335250000000000E+04              2
    0.149625000000000E+06    0.562500000000000E+02    0.328162500000000E+04              1
    0.149681250000000E+06    0.281250000000000E+02    0.321018750000000E+04              1
    0.149709375000000E+06    0.140625000000000E+02    0.313846875000000E+04              1
    0.149723437500000E+06    0.281250000000000E+02    0.306703125000000E+04              1
    0.149751562500000E+06    0.351562500000000E+01    0.299510156250000E+04              1
    0.149755078125000E+06    0.175781250000000E+01    0.292313671875000E+04              1
    0.149756835937500E+06    0.144316406250000E+04    0.360000000000000E+04              2
    0.151200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.154800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.158400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.162000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.165600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.169200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.172800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.176400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.180000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.183600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.187200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.190800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.194400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.198000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.201600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.205200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.208800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.212400000000000E+06    0.225000000000000E+03    0.353250000000000E+04              2
    0.212625000000000E+06    0.112500000000000E+03    0.346275000000000E+04              2
    0.212737500000000E+06    0.562500000000000E+02    0.339187500000000E+04              2
    0.212793750000000E+06    0.112500000000000E+03    0.332212500000000E+04              2
    0.212906250000000E+06    0.562500000000000E+02    0.325125000000000E+04              2
    0.212962500000000E+06    0.703125000000000E+01    0.317939062500000E+04              1
    0.212969531250000E+06    0.100000000000000E+03    0.310939062500000E+04              2
    0.213069531250000E+06    0.200000000000000E+03    0.304139062500000E+04              2
    0.213269531250000E+06    0.400000000000000E+03    0.297739062500000E+04              3
    0.213669531250000E+06    0.800000000000000E+03    0.292139062500000E+04              3
    0.214469531250000E+06    0.153046875000000E+04    0.360000000000000E+04              3
    0.216000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.219600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.223200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.226800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.230400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.234000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.237600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.241200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.244800000000000E+06    0.900000000000000E+03    0.354600000000000E+04              3
    0.245700000000000E+06    0.450000000000000E+03    0.348300000000000E+04              3
    0.246150000000000E+06    0.225000000000000E+03    0.341550000000000E+04              2
    0.246375000000000E+06    0.450000000000000E+03    0.335250000000000E+04              3
    0.246825000000000E+06    0.562500000000000E+02    0.328162500000000E+04              2
    0.246881250000000E+06    0.112500000000000E+03    0.321187500000000E+04              2
    0.246993750000000E+06    0.140625000000000E+02    0.314015625000000E+04              1
    0.247007812500000E+06    0.703125000000000E+01    0.306829687500000E+04              1
    0.247014843750000E+06    0.351562500000000E+01    0.299636718750000E+04              1
    0.247018359375000E+06    0.175781250000000E+01    0.292440234375000E+04              1
    0.247020117187500E+06    0.137988281250000E+04    0.360000000000000E+04              2
    0.248400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.252000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.255600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.259200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.262800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              2
    0.266400000000000E+06    0.351562500000000E+01    0.352807031250000E+04              1
    0.266403515625000E+06    0.100000000000000E+03    0.345807031250000E+04              2
    0.266503515625000E+06    0.200000000000000E+03    0.339007031250000E+04              2
    0.266703515625000E+06    0.400000000000000E+03    0.332607031250000E+04              3
    0.267103515625000E+06    0.800000000000000E+03    0.327007031250000E+04              3
    0.267903515625000E+06    0.209648437500000E+04    0.360000000000000E+04              3
    0.270000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.273600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.277200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.280800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.284400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.288000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.291600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.295200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.298800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.302400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.306000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.309600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.313200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.316800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.320400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.324000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.327600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.331200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.334800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.338400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.342000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.345600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.349200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.352800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.356400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.360000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.363600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.367200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.370800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              3
    0.374400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.378000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.381600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.385200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.388800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.392400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.396000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.399600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.403200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.406800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.410400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.414000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.417600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.421200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
