cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.900000000000000E+05    0.271150700179881E+02    0.138446557292918E+02   -0.319278506416209E+05    0.271978757789538E+05   -0.319050856147986E+05    0.271975289957203E+05
    0.936000000000000E+05    0.271096611598275E+02    0.138423761464747E+02   -0.284097932201669E+05    0.272861377623606E+05   -0.283611458148580E+05    0.272857740527990E+05
    0.972000000000000E+05    0.271093643202803E+02    0.138412990215971E+02   -0.220748015274814E+05    0.273350942827127E+05   -0.221536507014802E+05    0.273339966563271E+05
    0.100800000000000E+06    0.271098781566344E+02    0.138411701769954E+02   -0.208872776112958E+05    0.273552851532585E+05   -0.208412376188581E+05    0.273544314715273E+05
    0.104400000000000E+06    0.271139640052950E+02    0.138420518422168E+02   -0.123256023040500E+05    0.273386985633261E+05   -0.122748053146626E+05    0.273396477981352E+05
    0.108000000000000E+06    0.271215943358354E+02    0.138441529324865E+02   -0.376709832354018E+04    0.272842036437647E+05   -0.371104328977536E+04    0.272873836507801E+05
    0.111600000000000E+06    0.271289811687665E+02    0.138466995270319E+02   -0.444294327844503E+04    0.272081795698205E+05   -0.439421432532631E+04    0.272123904222907E+05
    0.115200000000000E+06    0.271321620533121E+02    0.138484513821660E+02   -0.148651627458275E+05    0.271507474431572E+05   -0.148278951879297E+05    0.271536219477436E+05
    0.118800000000000E+06    0.271332702803849E+02    0.138493289290525E+02   -0.201477153156252E+05    0.271123463706779E+05   -0.201156289535269E+05    0.271138932377497E+05
    0.122400000000000E+06    0.271720750619092E+02    0.138581654149585E+02    0.719715247297216E+05    0.268531774498418E+05    0.723603273795562E+05    0.268693414125559E+05
    0.126000000000000E+06    0.272199398273871E+02    0.138727990419732E+02    0.947128209242419E+05    0.264026805392560E+05    0.950592778651512E+05    0.264305629623878E+05
    0.129600000000000E+06    0.272684905956325E+02    0.138897555071657E+02    0.969234605557534E+05    0.258455214434753E+05    0.972165126140699E+05    0.258792504865250E+05
    0.133200000000000E+06    0.273035940321478E+02    0.139045042699400E+02    0.644234086647972E+05    0.253413373174573E+05    0.645303097215313E+05    0.253716776346092E+05
    0.136800000000000E+06    0.273457419079900E+02    0.139197426053128E+02    0.808076920833856E+05    0.250543614478072E+05    0.802419502590056E+05    0.250578322497112E+05
    0.140400000000000E+06    0.273756963611318E+02    0.139327145880491E+02    0.486329081891617E+05    0.244802825882194E+05    0.481467622338404E+05    0.244852391764437E+05
    0.144000000000000E+06    0.273751405823807E+02    0.139373867966526E+02   -0.238997062507482E+05    0.241715888176393E+05   -0.237284551576972E+05    0.241722230090984E+05
    0.147600000000000E+06    0.273614439407994E+02    0.139357799785377E+02   -0.543841703977093E+05    0.241825696406949E+05   -0.541522686187496E+05    0.241824953456923E+05
