       time step start          time step length       avg time step length      required iterations
    0.177019559771524E+06    0.268504786234822E+03    0.161761291155187E+03             13
    0.177288064557759E+06    0.309813214886333E+03    0.959575554529132E+02             15
    0.177597877772646E+06    0.309813214886333E+03    0.301538197506398E+02             15
    0.177907690987532E+06    0.309813214886333E+03    0.362797715483665E+02             14
    0.178217504202418E+06    0.331942730235356E+03    0.428483136530736E+02             14
    0.178549446932653E+06    0.355652925252168E+03    0.498207471581170E+02             14
    0.178905099857906E+06    0.381056705627322E+03    0.571606312706634E+02             14
    0.179286156563533E+06    0.408275041743560E+03    0.650016128747654E+02             14
    0.179694431605277E+06    0.305568394723465E+03    0.360000000000000E+04             13
    0.180000000000000E+06    0.352578916988613E+03    0.353505157833977E+04             13
    0.180352578916989E+06    0.406821827294554E+03    0.347118801488566E+04             14
    0.180759400744283E+06    0.435880529244165E+03    0.340790562547055E+04             14
    0.181195281273527E+06    0.467014852761605E+03    0.334524592252578E+04             14
    0.181662296126289E+06    0.500373056530291E+03    0.328325338365639E+04             14
    0.182162669182819E+06    0.536113989139597E+03    0.322197566343918E+04             14
    0.182698783171959E+06    0.574407845506712E+03    0.316146382034931E+04             15
    0.183273191017466E+06    0.326808982534450E+03    0.360000000000000E+04             10
    0.183600000000000E+06    0.490213473801676E+03    0.353780426947603E+04             12
    0.184090213473802E+06    0.612766842252095E+03    0.347805960632108E+04             14
    0.184702980316054E+06    0.656535902412959E+03    0.341919032436934E+04             14
    0.185359516218467E+06    0.703431324013884E+03    0.336125895084961E+04             15
    0.186062947542481E+06    0.703431324013884E+03    0.330332757732989E+04             17
    0.186766378866495E+06    0.433621133505483E+03    0.360000000000000E+04             11
    0.187200000000000E+06    0.591301545689295E+03    0.353982603091379E+04             12
    0.187791301545689E+06    0.739126932111619E+03    0.348260856955602E+04             15
    0.188530428477801E+06    0.739126932111619E+03    0.342539110819825E+04             17
    0.189269555409913E+06    0.652170822451429E+03    0.336643452464728E+04             14
    0.189921726232364E+06    0.878273767636041E+03    0.360000000000000E+04             13
    0.190800000000000E+06    0.101339280881082E+04    0.354826785617622E+04             14
    0.191813392808811E+06    0.108577800944016E+04    0.349798341636502E+04             14
    0.192899170818251E+06    0.750414590874512E+03    0.344099170818251E+04             14
    0.193649585409125E+06    0.750414590874512E+03    0.360000000000000E+04             14
    0.194400000000000E+06    0.804015633079835E+03    0.354408031266160E+04             12
    0.195204015633080E+06    0.100501954134979E+04    0.349218070348859E+04             12
    0.196209035174430E+06    0.895482412785190E+03    0.343809035174430E+04             22
    0.197104517587215E+06    0.895482412785175E+03    0.360000000000000E+04             13
    0.198000000000000E+06    0.103324893782905E+04    0.354866497875658E+04             10
    0.199033248937829E+06    0.154987340674357E+04    0.350766244689145E+04             10
    0.200583122344573E+06    0.101687765542738E+04    0.360000000000000E+04              7
    0.201600000000000E+06    0.203375531085476E+04    0.356867510621710E+04              9
    0.203633755310855E+06    0.156624468914524E+04    0.360000000000000E+04              7
    0.205200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.208800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.212400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.216000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.219600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.223200000000000E+06    0.180000000000000E+04    0.356400000000000E+04             14
    0.225000000000000E+06    0.180000000000000E+04    0.360000000000000E+04             16
    0.226800000000000E+06    0.843750000000000E+03    0.354487500000000E+04             14
    0.227643750000000E+06    0.843750000000000E+03    0.348975000000000E+04             19
    0.228487500000000E+06    0.666118421052632E+03    0.343107236842105E+04             24
    0.229153618421053E+06    0.416324013157895E+03    0.336739884868421E+04             14
    0.229569942434211E+06    0.446061442669173E+03    0.330432007753759E+04             14
    0.230016003876880E+06    0.383996123120305E+03    0.360000000000000E+04             13
    0.230400000000000E+06    0.443072449754198E+03    0.353686144899508E+04             15
    0.230843072449754E+06    0.443072449754198E+03    0.347372289799017E+04             18
    0.231286144899508E+06    0.369227041461832E+03    0.340910743881940E+04             12
    0.231655371940970E+06    0.461533801827290E+03    0.334633811485595E+04             28
    0.232116905742798E+06    0.247250250978905E+03    0.327928311987553E+04             15
    0.232364155993776E+06    0.247250250978905E+03    0.321222812489511E+04             17
    0.232611406244755E+06    0.218161986157858E+03    0.314459136461826E+04             16
    0.232829568230913E+06    0.204526862022991E+03    0.307668190185872E+04             15
    0.233034095092936E+06    0.204526862022991E+03    0.300877243909918E+04             15
    0.233238621954959E+06    0.204526862022991E+03    0.294086297633964E+04             14
    0.233443148816982E+06    0.219135923596062E+03    0.287324569481156E+04             13
    0.233662284740578E+06    0.337715259421762E+03    0.360000000000000E+04             12
    0.234000000000000E+06    0.422144074277203E+03    0.353644288148554E+04              5
    0.234422144074277E+06    0.844288148554406E+03    0.348132864445663E+04              4
    0.235266432222832E+06    0.233356777716841E+04    0.360000000000000E+04              3
    0.237600000000000E+06    0.351562500000000E+01    0.352807031250000E+04              2
    0.237603515625000E+06    0.100000000000000E+03    0.345807031250000E+04              5
    0.237703515625000E+06    0.200000000000000E+03    0.339007031250000E+04              4
    0.237903515625000E+06    0.400000000000000E+03    0.332607031250000E+04              5
    0.238303515625000E+06    0.800000000000000E+03    0.327007031250000E+04              5
    0.239103515625000E+06    0.209648437500000E+04    0.360000000000000E+04              7
    0.241200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.244800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.248400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.252000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.255600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.259200000000000E+06    0.180000000000000E+04    0.356400000000000E+04             15
    0.261000000000000E+06    0.900000000000000E+03    0.351000000000000E+04             22
    0.261900000000000E+06    0.900000000000000E+03    0.360000000000000E+04             31
    0.262800000000000E+06    0.435483870967742E+03    0.353670967741935E+04             15
    0.263235483870968E+06    0.435483870967742E+03    0.347341935483871E+04             19
    0.263670967741936E+06    0.343803056027165E+03    0.340829541595925E+04             30
    0.264014770797963E+06    0.171901528013582E+03    0.333973344651952E+04             25
    0.264186672325976E+06    0.103140916808149E+03    0.326979626485569E+04             14
    0.264289813242784E+06    0.110508125151589E+03    0.320000642735872E+04             11
    0.264400321367936E+06    0.150692897933985E+03    0.313102028531740E+04             10
    0.264551014265870E+06    0.226039346900977E+03    0.306354107225542E+04             12
    0.264777053612771E+06    0.282549183626221E+03    0.299719205592794E+04             14
    0.265059602796397E+06    0.302731268170951E+03    0.293124668129136E+04             16
    0.265362334064568E+06    0.283810563910267E+03    0.286492289256957E+04             15
    0.265646144628478E+06    0.283810563910267E+03    0.279859910384777E+04             13
    0.265929955192389E+06    0.470044807611324E+03    0.360000000000000E+04             17
    0.266400000000000E+06    0.414745418480580E+03    0.353629490836961E+04             15
    0.266814745418481E+06    0.414745418480580E+03    0.347258981673922E+04             15
    0.267229490836961E+06    0.414745418480580E+03    0.340888472510883E+04             15
    0.267644236255442E+06    0.414745418480580E+03    0.334517963347845E+04             14
    0.268058981673922E+06    0.444370091229193E+03    0.328206703530303E+04             14
    0.268503351765152E+06    0.476110812031278E+03    0.321958925154365E+04             13
    0.268979462577183E+06    0.549358629266860E+03    0.315857642412899E+04             15
    0.269528821206450E+06    0.471178793550294E+03    0.360000000000000E+04             13
    0.270000000000000E+06    0.543667838711878E+03    0.353887335677424E+04             14
    0.270543667838712E+06    0.582501255762726E+03    0.347852338188949E+04             15
    0.271126169094475E+06    0.582501255762726E+03    0.341817340700475E+04             15
    0.271708670350237E+06    0.582501255762726E+03    0.335782343212000E+04             13
    0.272291171606000E+06    0.672116833572377E+03    0.329926576879145E+04             13
