cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.190800000000000E+06    0.554519591239612E+02   -0.554428478667682E+05    0.346824675743573E+05   -0.557828958419793E+05    0.346807128828824E+05
    0.194400000000000E+06    0.554414911510251E+02   -0.529453322212236E+05    0.348538260795010E+05   -0.531877340090878E+05    0.348538202834877E+05
    0.198000000000000E+06    0.554314209041730E+02   -0.524927831881295E+05    0.350215122394391E+05   -0.529871619035000E+05    0.350197481219979E+05
    0.201600000000000E+06    0.554214141665618E+02   -0.526821585755957E+05    0.351823948825617E+05   -0.524529722499570E+05    0.351805831507287E+05
    0.205200000000000E+06    0.554144603462200E+02   -0.471058399549393E+05    0.353345170493793E+05   -0.474860457773249E+05    0.353345245467609E+05
    0.208800000000000E+06    0.554227142800449E+02   -0.218518392039662E+05    0.354713755720164E+05   -0.221098530464985E+05    0.354713753743621E+05
    0.212400000000000E+06    0.554333006120304E+02   -0.180495265972639E+05    0.355841083106375E+05   -0.183577405148891E+05    0.355841078017525E+05
    0.216000000000000E+06    0.554557771231012E+02    0.199455706766630E+04    0.356622111406533E+05    0.124059160393763E+04    0.356622098286341E+05
    0.219600000000000E+06    0.554932651245718E+02    0.272853673145740E+05    0.356924360861355E+05    0.266055569280560E+05    0.356924356393478E+05
    0.223200000000000E+06    0.555476687427196E+02    0.559567308525819E+05    0.356585230132876E+05    0.550695642627403E+05    0.356585224289879E+05
    0.226800000000000E+06    0.555950062934408E+02    0.440005386933536E+05    0.355499895194657E+05    0.437355980333452E+05    0.355499893002986E+05
    0.230400000000000E+06    0.556274664576872E+02    0.185603591531854E+05    0.353712736457282E+05    0.193637693376647E+05    0.353675979240992E+05
    0.234000000000000E+06    0.556282803953470E+02   -0.343794413265252E+05    0.351469493116126E+05   -0.336611496126585E+05    0.351469449970961E+05
    0.237600000000000E+06    0.556147357121326E+02   -0.583937855777432E+05    0.349140089732058E+05   -0.577387851302418E+05    0.349140094037212E+05
    0.241200000000000E+06    0.555912688399930E+02   -0.744039941556164E+05    0.347082322640382E+05   -0.741176712989715E+05    0.347082325224889E+05
    0.244800000000000E+06    0.555704546779419E+02   -0.698543577587735E+05    0.345534104186005E+05   -0.690247048192907E+05    0.345534065184911E+05
